Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
American journal of physical medicine & rehabilitation,Am J Phys Med Rehabil,0894-9115,1537-7385,United States,Physical and Rehabilitation Medicine,1988,8803677
Annals of physical and rehabilitation medicine.,Ann Phys Rehabil Med,1877-0657,1877-0665,Netherlands,Physical and Rehabilitation Medicine,2009,101502773
Archives of physical medicine and rehabilitation.,Arch Phys Med Rehabil,0003-9993,1532-821X,United States,Physical and Rehabilitation Medicine,1953,2985158R
Assistive technology : the official journal of RESNA.,Assist Technol,1040-0435,1949-3614,United States,Physical and Rehabilitation Medicine; Technology,1989,8917250
Australian occupational therapy journal.,Aust Occup Ther J,0045-0766,1440-1630,Australia,Physical and Rehabilitation Medicine,1963,15420200R
Brazilian journal of physical therapy.,Braz J Phys Ther,1413-3555,1809-9246,Brazil,Physical and Rehabilitation Medicine,2013,101615124
Canadian journal of occupational therapy.  Revue canadienne d'ergothérapie.,Can J Occup Ther,0008-4174,1911-9828,United States,Physical and Rehabilitation Medicine,1939,0406021
Clinical rehabilitation.,Clin Rehabil,0269-2155,1477-0873,England,Physical and Rehabilitation Medicine,1987,8802181
Developmental neurorehabilitation.,Dev Neurorehabil,1751-8423,1751-8431,England,Neurology; Pediatrics; Physical and Rehabilitation Medicine,2007,101304394
Die Rehabilitation.,Rehabilitation (Stuttg),0034-3536,1439-1309,Germany,Physical and Rehabilitation Medicine,1962,0401273
Disability and health journal.,Disabil Health J,1936-6574,1876-7583,United States,Health Services; Physical and Rehabilitation Medicine; Public Health,2008,101306633
Disability and rehabilitation.,Disabil Rehabil,0963-8288,1464-5165,England,Physical and Rehabilitation Medicine,1992,9207179
Disability and rehabilitation. Assistive technology.,Disabil Rehabil Assist Technol,1748-3107,1748-3115,England,Physical and Rehabilitation Medicine,2006,101255937
European journal of physical and rehabilitation medicine.,Eur J Phys Rehabil Med,1973-9087,1973-9095,Italy,Physical and Rehabilitation Medicine,2008,101465662
IEEE ... International Conference on Rehabilitation Robotics : [proceedings].,IEEE Int Conf Rehabil Robot,1945-7898,1945-7901,United States,Physical and Rehabilitation Medicine; Technology,1990,101260913
IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society.,IEEE Trans Neural Syst Rehabil Eng,1534-4320,1558-0210,United States,Biomedical Engineering; Physical and Rehabilitation Medicine,2001,101097023
International journal of rehabilitation research. Internationale Zeitschrift für Rehabilitationsforschung.  Revue internationale de recherches de réadaptation.,Int J Rehabil Res,0342-5282,1473-5660,England,Physical and Rehabilitation Medicine,1978,7805421
Journal of back and musculoskeletal rehabilitation.,J Back Musculoskelet Rehabil,1053-8127,1878-6324,United States,Physical and Rehabilitation Medicine; Physiology,1991,9201340
Journal of bodywork and movement therapies.,J Bodyw Mov Ther,1360-8592,1532-9283,United States,Physical and Rehabilitation Medicine; Therapeutics,1996,9700068
Journal of cardiopulmonary rehabilitation and prevention.,J Cardiopulm Rehabil Prev,1932-7501,1932-751X,United States,Cardiology; Physical and Rehabilitation Medicine; Pulmonary Medicine,2007,101291247
Journal of dance medicine & science : official publication of the International Association for Dance Medicine & Science.,J Dance Med Sci,1089-313X,2374-8060,United States,Physical and Rehabilitation Medicine; Sports Medicine,1997,9700066
Journal of geriatric physical therapy.,J Geriatr Phys Ther,1539-8412,2152-0895,United States,Geriatrics; Physical and Rehabilitation Medicine,2001,101142169
Journal of hand therapy : official journal of the American Society of Hand Therapists.,J Hand Ther,0894-1130,1545-004X,United States,Physical and Rehabilitation Medicine,1987,8806591
