Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
Adapted physical activity quarterly : APAQ.,Adapt Phys Activ Q,0736-5829,1543-2777,United States,Physiology; Sports Medicine,1984,8701671
"Applied physiology, nutrition, and metabolism = Physiologie appliquée, nutrition et métabolisme.",Appl Physiol Nutr Metab,1715-5312,1715-5320,Canada,Metabolism; Nutritional Sciences; Physiology; Sports Medicine,2006,101264333
British journal of sports medicine.,Br J Sports Med,0306-3674,1473-0480,England,Sports Medicine,1969,0432520
Clinical journal of sport medicine : official journal of the Canadian Academy of Sport Medicine.,Clin J Sport Med,1050-642X,1536-3724,United States,Sports Medicine,1991,9103300
Clinics in sports medicine.,Clin Sports Med,0278-5919,1556-228X,United States,Sports Medicine,1982,8112473
Current sports medicine reports.,Curr Sports Med Rep,1537-890X,1537-8918,United States,Sports Medicine,2002,101134380
Diving and hyperbaric medicine.,Diving Hyperb Med,1833-3516,2209-1491,Australia,Military Medicine; Sports Medicine,2006,101282742
European journal of sport science.,Eur J Sport Sci,1746-1391,1536-7290,Germany,Physiology; Sports Medicine,2001,101146739
Exercise and sport sciences reviews.,Exerc Sport Sci Rev,0091-6331,1538-3008,United States,Sports Medicine,1973,0375434
International journal of sport nutrition and exercise metabolism.,Int J Sport Nutr Exerc Metab,1526-484X,1543-2742,United States,Metabolism; Nutritional Sciences; Sports Medicine,2000,100939812
International journal of sports medicine.,Int J Sports Med,0172-4622,1439-3964,Germany,Sports Medicine,1980,8008349
International journal of sports physiology and performance.,Int J Sports Physiol Perform,1555-0265,1555-0273,United States,Physiology; Sports Medicine,2006,101276430
Journal of ISAKOS : joint disorders & orthopaedic sports medicine.,J ISAKOS,2059-7754,2059-7762,England,Orthopedics; Sports Medicine,2016,101680867
Journal of applied biomechanics.,J Appl Biomech,1065-8483,1543-2688,United States,Biomedical Engineering; Physiology; Sports Medicine,1993,9315240
Journal of athletic training.,J Athl Train,1062-6050,1938-162X,United States,Sports Medicine,1992,9301647
Journal of dance medicine & science : official publication of the International Association for Dance Medicine & Science.,J Dance Med Sci,1089-313X,2374-8060,United States,Physical and Rehabilitation Medicine; Sports Medicine,1997,9700066
Journal of physical activity & health.,J Phys Act Health,1543-3080,1543-5474,United States,Sports Medicine,2004,101189457
Journal of science and medicine in sport,J Sci Med Sport,1440-2440,1878-1861,Australia,Sports Medicine,1998,9812598
Journal of sport & exercise psychology.,J Sport Exerc Psychol,0895-2779,1543-2904,United States,Psychology; Sports Medicine,1988,8809258
Journal of sport and health science.,J Sport Health Sci,2095-2546,2213-2961,China,Sports Medicine,2012,101606001
Journal of sport rehabilitation.,J Sport Rehabil,1056-6716,1543-3072,United States,Physical and Rehabilitation Medicine; Sports Medicine,1992,9206500
Journal of sports science & medicine.,J Sports Sci Med,,1303-2968,Turkey,Sports Medicine,2002,101174629
Journal of sports sciences.,J Sports Sci,0264-0414,1466-447X,England,Sports Medicine,1983,8405364
Journal of the International Society of Sports Nutrition.,J Int Soc Sports Nutr,,1550-2783,United States,Nutritional Sciences; Sports Medicine,2004,101234168
"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA.",Knee Surg Sports Traumatol Arthrosc,0942-2056,1433-7347,Germany,General Surgery; Sports Medicine; Traumatology,1993,9314730
Medicine and science in sports and exercise.,Med Sci Sports Exerc,0195-9131,1530-0315,United States,Sports Medicine,1980,8005433
Pediatric exercise science.,Pediatr Exerc Sci,0899-8493,1543-2920,United States,Pediatrics; Sports Medicine,1989,8909729
Physical therapy in sport : official journal of the Association of Chartered Physiotherapists in Sports Medicine.,Phys Ther Sport,1466-853X,1873-1600,England,Physical and Rehabilitation Medicine; Sports Medicine,2000,100940513
Psychology of sport and exercise.,Psychol Sport Exerc,1469-0292,1878-5476,Netherlands,Psychology; Sports Medicine,2000,101088724
Research in sports medicine.,Res Sports Med,1543-8627,1543-8635,England,Sports Medicine,2003,101167637
Research quarterly for exercise and sport.,Res Q Exerc Sport,0270-1367,2168-3824,United States,Sports Medicine,1980,8006373
Scandinavian journal of medicine & science in sports.,Scand J Med Sci Sports,0905-7188,1600-0838,Denmark,Sports Medicine,1991,9111504
Science & medicine in football.,Sci Med Footb,2473-3938,2473-4446,England,Sports Medicine,2017,101724288
Sports biomechanics,Sports Biomech,1476-3141,1752-6116,England,Physiology; Sports Medicine,2002,101151352
Sports health.,Sports Health,1941-7381,1941-0921,United States,Sports Medicine,2009,101518422
Sports medicine and arthroscopy review.,Sports Med Arthrosc Rev,1062-8592,1538-1951,United States,Orthopedics; Sports Medicine,1993,9315689
Sports medicine.,Sports Med,0112-1642,1179-2035,New Zealand,Sports Medicine,1984,8412297
Sportverletzung Sportschaden : Organ der Gesellschaft für Orthopädisch-Traumatologische Sportmedizin.,Sportverletz Sportschaden,0932-0555,1439-1236,Germany,Orthopedics; Sports Medicine,1987,8904133
The American journal of sports medicine.,Am J Sports Med,0363-5465,1552-3365,United States,Sports Medicine,1976,7609541
The Journal of orthopaedic and sports physical therapy.,J Orthop Sports Phys Ther,0190-6011,1938-1344,United States,Orthopedics; Physical and Rehabilitation Medicine; Sports Medicine,1979,7908150
The Journal of sports medicine and physical fitness.,J Sports Med Phys Fitness,0022-4707,1827-1928,Italy,Sports Medicine,1961,0376337
The Physician and sportsmedicine.,Phys Sportsmed,0091-3847,2326-3660,England,Sports Medicine,1973,0427461
The international journal of behavioral nutrition and physical activity.,Int J Behav Nutr Phys Act,,1479-5868,England,Behavioral Sciences; Nutritional Sciences; Sports Medicine,2004,101217089
"Undersea & hyperbaric medicine : journal of the Undersea and Hyperbaric Medical Society, Inc.",Undersea Hyperb Med,1066-2936,,United States,Military Medicine; Physiology; Sports Medicine,1993,9312954
